data;origem;destino;preco
2026-12-14;Aruba;BH;1530
2026-12-15;Aruba;BH;1530
2026-12-16;Aruba;BH;1530
2026-12-17;Aruba;BH;1530
2026-12-18;Aruba;BH;1640
2026-12-19;Aruba;BH;1640
2026-12-20;Aruba;BH;1640
2026-12-21;Aruba;BH;1530
2026-12-22;Aruba;BH;1530
2026-12-10;Aruba;Cancun;1860
2026-12-11;Aruba;Cancun;1860
2026-12-12;Aruba;Cancun;1940
2026-12-13;Aruba;Cancun;1650
2026-12-14;Aruba;Cancun;1860
2026-12-15;Aruba;Cancun;1860
2026-12-16;Aruba;Cancun;1860
2026-12-17;Aruba;Cancun;1860
2026-12-18;Aruba;Cancun;1860
2026-12-10;Aruba;Cartagena;1420
2026-12-11;Aruba;Cartagena;1420
2026-12-12;Aruba;Cartagena;1420
2026-12-13;Aruba;Cartagena;1420
2026-12-14;Aruba;Cartagena;1380
2026-12-15;Aruba;Cartagena;1420
2026-12-16;Aruba;Cartagena;1420
2026-12-17;Aruba;Cartagena;1940
2026-12-18;Aruba;Cartagena;1940
2026-12-10;Aruba;Curacao;852
2026-12-11;Aruba;Curacao;1030
2026-12-12;Aruba;Curacao;1030
2026-12-13;Aruba;Curacao;1030
2026-12-14;Aruba;Curacao;852
2026-12-15;Aruba;Curacao;852
2026-12-16;Aruba;Curacao;852
2026-12-17;Aruba;Curacao;852
2026-12-18;Aruba;Curacao;878
2026-12-14;Aruba;GRU;1380
2026-12-15;Aruba;GRU;1380
2026-12-16;Aruba;GRU;1380
2026-12-17;Aruba;GRU;1380
2026-12-18;Aruba;GRU;1380
2026-12-19;Aruba;GRU;1380
2026-12-20;Aruba;GRU;1380
2026-12-21;Aruba;GRU;1380
2026-12-22;Aruba;GRU;1380
2026-12-10;Aruba;Punta Cana;1170
2026-12-11;Aruba;Punta Cana;966
2026-12-12;Aruba;Punta Cana;966
2026-12-13;Aruba;Punta Cana;740
2026-12-14;Aruba;Punta Cana;966
2026-12-15;Aruba;Punta Cana;966
2026-12-16;Aruba;Punta Cana;740
2026-12-17;Aruba;Punta Cana;966
2026-12-18;Aruba;Punta Cana;966
2026-12-10;Aruba;San Andres;1580
2026-12-11;Aruba;San Andres;1620
2026-12-12;Aruba;San Andres;1580
2026-12-13;Aruba;San Andres;1580
2026-12-14;Aruba;San Andres;1580
2026-12-15;Aruba;San Andres;1580
2026-12-16;Aruba;San Andres;1580
2026-12-17;Aruba;San Andres;1580
2026-12-18;Aruba;San Andres;2830
2026-12-07;BH;Aruba;1410
2026-12-08;BH;Aruba;1310
2026-12-09;BH;Aruba;1310
2026-12-10;BH;Aruba;1920
2026-12-11;BH;Aruba;2150
2026-12-12;BH;Aruba;1780
2026-12-13;BH;Aruba;1780
2026-12-07;BH;Cancun;1860
2026-12-08;BH;Cancun;1860
2026-12-09;BH;Cancun;1890
2026-12-10;BH;Cancun;2090
2026-12-11;BH;Cancun;2120
2026-12-12;BH;Cancun;1890
2026-12-13;BH;Cancun;1890
2026-12-07;BH;Cartagena;1490
2026-12-08;BH;Cartagena;1490
2026-12-09;BH;Cartagena;1520
2026-12-10;BH;Cartagena;1560
2026-12-11;BH;Cartagena;1560
