data_jogo,partida,autor_gol,equipe_do_autor,minuto,placar_apos_gol,tipo_lance,classificacao_gol
2026-06-11,Mexico x South Africa,Julián Quiñones,Mexico,9',1 x 0,Goal,Desempate
2026-06-11,Mexico x South Africa,Raúl Jiménez,Mexico,67',2 x 0,Goal - Header,Ampliando o placar
2026-06-12,South Korea x Czechia,Ladislav Krejcí,Czechia,59',0 x 1,Goal - Header,Desempate
2026-06-12,South Korea x Czechia,Hwang In-Beom,South Korea,67',1 x 1,Goal,Empate
2026-06-12,South Korea x Czechia,Oh Hyeon-Gyu,South Korea,80',2 x 1,Goal,Desempate - Virada
2026-06-12,Canada x Bosnia-Herz,Jovo Lukic,Bosnia-Herz,21',0 x 1,Goal - Header,Desempate
2026-06-12,Canada x Bosnia-Herz,Cyle Larin,Canada,78',1 x 1,Goal,Empate
2026-06-13,USA x Paraguay,Damián Bobadilla,USA,7',1 x 0,Own Goal,Desempate
2026-06-13,USA x Paraguay,Folarin Balogun,USA,31',2 x 0,Goal,Ampliando o placar
2026-06-13,USA x Paraguay,Folarin Balogun,USA,45'+5',3 x 0,Goal,Ampliando o placar
2026-06-13,USA x Paraguay,Maurício,Paraguay,73',3 x 1,Goal,Empate
2026-06-13,USA x Paraguay,Giovanni Reyna,USA,90'+8',4 x 1,Goal,Ampliando o placar
2026-06-13,Qatar x Switzerland,Breel Embolo,Switzerland,17',0 x 1,Penalty - Scored,Desempate
2026-06-13,Qatar x Switzerland,Miro Muheim,Qatar,90'+4',1 x 1,Own Goal,Empate
2026-06-13,Brazil x Morocco,Ismael Saibari,Morocco,21',0 x 1,Goal,Desempate
2026-06-13,Brazil x Morocco,Vinícius Júnior,Brazil,32',1 x 1,Goal,Empate
2026-06-14,Haiti x Scotland,John McGinn,Scotland,28',0 x 1,Goal,Desempate
2026-06-14,Australia x Türkiye,Nestory Irankunda,Australia,27',1 x 0,Goal,Desempate
2026-06-14,Australia x Türkiye,Connor Metcalfe,Australia,75',2 x 0,Goal,Ampliando o placar
2026-06-14,Germany x Curaçao,Felix Nmecha,Germany,6',1 x 0,Goal,Desempate
2026-06-14,Germany x Curaçao,Livano Comenencia,Curaçao,21',1 x 1,Goal,Empate
2026-06-14,Germany x Curaçao,Nico Schlotterbeck,Germany,38',2 x 1,Goal - Header,Desempate
